2024-11-20 12:11:10,164 | Level 25 | table add bgp_tag set_bgp_tag 4 62:b7:09:d0:e0:24 => 0
2024-11-20 12:11:10,164 | Level 25 | table add bgp_tag set_bgp_tag 3 22:91:ef:a6:da:84 => 0
2024-11-20 12:11:10,164 | Level 25 | table add bgp_tag set_bgp_tag 2 f2:70:b8:f6:63:5d => 0
2024-11-20 12:11:10,388 | Level 25 | do_register_write switch_ip 0 3368601602
2024-11-20 12:11:10,388 | Level 25 | do_register_write threshold_registers 0 31
2024-11-20 12:11:10,388 | Level 25 | do_register_write threshold_registers 1 31
2024-11-20 12:11:10,388 | Level 25 | do_register_write threshold_registers 2 31
2024-11-20 12:11:10,388 | Level 25 | do_register_write threshold_registers 3 31
2024-11-20 12:11:10,388 | Level 25 | table add meta_fwtable set_meta 10.0.5.2/24 0 => 0 0 5
2024-11-20 12:11:10,388 | Level 25 | do_register_write next_hops_port 0 5
2024-11-20 12:11:10,388 | Level 25 | table add meta_fwtable set_meta 10.0.5.2/24 1 => 1 0 5
2024-11-20 12:11:10,388 | Level 25 | do_register_write next_hops_port 3 5
2024-11-20 12:11:10,389 | Level 25 | table add meta_fwtable set_meta 10.0.1.1/24 0 => 2 0 4
2024-11-20 12:11:10,389 | Level 25 | do_register_write next_hops_port 6 4
2024-11-20 12:11:10,389 | Level 25 | table add meta_fwtable set_meta 10.0.1.1/24 1 => 3 0 4
2024-11-20 12:11:10,389 | Level 25 | do_register_write next_hops_port 9 4
2024-11-20 12:11:10,389 | Level 25 | table add bgp_tag set_bgp_tag 1 06:7b:d5:4a:f3:15 => 1
2024-11-20 12:11:10,389 | Level 25 | table add bgp_tag set_bgp_tag 2 f2:bf:df:a7:23:fc => 0
2024-11-20 12:11:10,394 | Level 25 | do_register_write switch_ip 0 3368601604
2024-11-20 12:11:10,394 | Level 25 | do_register_write threshold_registers 0 31
2024-11-20 12:11:10,394 | Level 25 | do_register_write threshold_registers 1 31
2024-11-20 12:11:10,394 | Level 25 | do_register_write threshold_registers 2 31
2024-11-20 12:11:10,394 | Level 25 | do_register_write threshold_registers 3 31
2024-11-20 12:11:10,394 | Level 25 | table add meta_fwtable set_meta 10.0.5.2/24 0 => 0 0 5
2024-11-20 12:11:10,394 | Level 25 | do_register_write next_hops_port 0 5
2024-11-20 12:11:10,394 | Level 25 | table add meta_fwtable set_meta 10.0.5.2/24 1 => 1 0 5
2024-11-20 12:11:10,394 | Level 25 | do_register_write next_hops_port 3 5
2024-11-20 12:11:10,394 | Level 25 | table add meta_fwtable set_meta 10.0.1.1/24 0 => 2 0 4
2024-11-20 12:11:10,394 | Level 25 | do_register_write next_hops_port 6 4
2024-11-20 12:11:10,395 | Level 25 | table add meta_fwtable set_meta 10.0.1.1/24 1 => 3 0 4
2024-11-20 12:11:10,395 | Level 25 | do_register_write next_hops_port 9 4
2024-11-20 12:11:10,395 | Level 25 | table add bgp_tag set_bgp_tag 2 aa:f7:af:92:76:d8 => 0
2024-11-20 12:11:10,395 | Level 25 | table add bgp_tag set_bgp_tag 1 3e:57:d8:f7:12:95 => 1
2024-11-20 12:11:10,413 | Level 25 | do_register_write switch_ip 0 3368601605
2024-11-20 12:11:10,414 | Level 25 | do_register_write threshold_registers 0 31
2024-11-20 12:11:10,414 | Level 25 | do_register_write threshold_registers 1 31
2024-11-20 12:11:10,414 | Level 25 | do_register_write threshold_registers 2 31
2024-11-20 12:11:10,414 | Level 25 | do_register_write threshold_registers 3 31
2024-11-20 12:11:10,414 | Level 25 | table add meta_fwtable set_meta 10.0.5.2/24 0 => 0 0 0
2024-11-20 12:11:10,414 | Level 25 | do_register_write next_hops_port 0 0
2024-11-20 12:11:10,414 | Level 25 | table add meta_fwtable set_meta 10.0.5.2/24 1 => 1 0 0
2024-11-20 12:11:10,414 | Level 25 | do_register_write next_hops_port 3 0
2024-11-20 12:11:10,414 | Level 25 | table add meta_fwtable set_meta 10.0.1.1/24 0 => 2 0 6
2024-11-20 12:11:10,414 | Level 25 | do_register_write next_hops_port 6 6
